,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
88,24,27,34,38,20,38,20,31,20,26,26,31,31,38,38,20,38,20,38,20,20,38,20,28,23,24,23,21,26,28,26,23,24,26,30,27,21,26,30,38,38,31,21,21,30,26,23,23,23,36
89,20,20,20,38,20,27,25,20,31,20,27,26,31,38,38,20,30,30,31,20,20,27,20,23,23,26,23,30,31,25,26,38,31,31,28,26,38,25,27,38,28,27,21,27,21,26,26,21,23,35
90,20,30,20,38,20,26,20,20,20,38,27,31,38,24,26,30,38,20,20,20,20,30,20,31,31,26,26,31,26,24,31,31,21,21,34,26,31,21,23,31,23,26,24,27,21,26,26,24,31,36
91,20,38,25,31,20,26,20,20,20,30,20,31,25,38,31,25,31,20,31,31,20,31,20,25,28,21,31,30,21,26,25,26,23,25,31,21,21,26,25,23,38,38,31,28,23,31,26,21,23,35
92,25,20,27,34,30,20,26,38,20,26,20,38,27,26,31,25,31,20,31,31,20,20,31,38,23,23,38,23,22,26,38,22,26,27,25,31,22,25,25,28,28,25,27,31,23,25,22,26,38,33
93,25,20,34,34,31,26,25,38,30,34,20,38,25,38,38,38,38,31,38,25,20,38,34,26,28,25,38,22,22,34,25,28,23,23,28,26,26,23,22,23,30,25,23,27,23,27,22,27,28,33
94,20,27,27,31,20,30,20,38,30,38,31,38,30,20,38,30,38,38,38,38,31,26,20,21,38,26,38,31,31,31,28,23,28,25,31,25,34,21,38,21,21,30,30,25,28,28,26,31,23,40
95,20,20,24,20,20,26,20,31,20,26,31,26,26,38,26,26,26,30,31,20,24,30,20,24,28,31,38,22,22,27,22,23,22,24,22,22,26,24,27,28,23,26,24,23,28,31,23,23,28,33
96,20,30,27,30,31,31,24,20,20,26,20,31,27,38,30,26,38,27,38,20,20,26,26,27,23,26,23,28,31,21,28,23,28,31,28,21,23,23,31,23,23,23,31,24,23,28,26,31,23,33
97,20,31,20,30,20,38,24,38,20,31,26,38,20,30,26,34,30,20,38,27,20,38,20,24,23,23,38,34,31,26,26,38,24,26,28,24,21,24,26,23,23,26,21,23,28,28,26,24,30,33
98,20,20,24,26,20,38,31,27,34,20,20,31,27,38,38,20,38,20,38,20,20,38,26,24,28,30,23,24,21,21,31,28,21,31,27,24,23,23,27,23,23,21,21,23,23,26,26,31,30,33
99,31,20,31,38,20,31,27,31,20,30,30,30,20,38,26,26,20,20,20,31,20,20,20,23,23,23,23,31,30,21,24,28,30,31,23,26,28,21,24,38,30,28,24,23,38,28,21,31,23,35
